,use.all,use_simple_sse,n.epochs,label,r,rho,r2,n.aa,n.sse,n.type,n.batch
0,False,True,3,single.train,0.7665256774370736,0.7735507751270319,-2.2802871796976047,860,172,1,5
1,False,True,3,single.test,0.7483112431976802,0.7579851229187555,-2.1908395211632627,860,172,1,5
2,False,False,3,mult.test,0.09851366477532686,0.059647103982501365,-52.36304952391069,860,172,1,5
3,False,True,3,single.train,0.7531429585615196,0.7588950602445328,-2.798721629985257,860,4,1,5
4,False,True,3,single.test,0.7436646520751266,0.750833243795571,-2.7637077949074436,860,4,1,5
5,False,True,3,mult.test,0.03520396406771814,0.010737917214334933,-73.79413167558243,860,4,1,5
6,True,True,3,single.train,0.7957502743025119,0.6812974309445756,0.3930628461672794,860,172,1,5
7,True,True,3,single.test,0.7592957539921016,0.7633490141878819,0.19390524670157505,860,172,1,5
8,True,False,3,mult.test,0.46565659930789827,0.36594360955985195,-1.7402484431664536,860,172,1,5
9,True,True,3,single.train,0.7977719571193642,0.687278811112484,0.30313802543466495,860,4,1,5
10,True,True,3,single.test,0.7570571676111408,0.7668232991321234,-0.022342319163341173,860,4,1,5
11,True,True,3,mult.test,0.46988184384022214,0.37467096936413685,-1.8433577345661916,860,4,1,5
12,False,True,10,single.train,0.7967332335140376,0.8024375482628943,0.23671175195319227,860,172,1,5
13,False,True,10,single.test,0.7820459781398379,0.7919240917739724,0.18305748629669039,860,172,1,5
14,False,False,10,mult.test,0.0915762504839882,0.043458267882111476,-24.912741422088445,860,172,1,5
15,False,True,10,single.train,0.8136403414510336,0.8181007038096823,-0.18032523492939068,860,4,1,5
16,False,True,10,single.test,0.7973662077924932,0.8046599118273003,-0.2439223961267296,860,4,1,5
17,False,True,10,mult.test,0.0842521640641462,0.05661237144791481,-19.479011440390718,860,4,1,5
18,True,True,10,single.train,0.796411611927732,0.6853864566378673,0.02428881875761224,860,172,1,5
19,True,True,10,single.test,0.7619614318427789,0.7566854533018179,-0.6742497267127152,860,172,1,5
20,True,False,10,mult.test,0.45935787242525183,0.37385141393575494,-3.5656382358511634,860,172,1,5
21,True,True,10,single.train,0.790605046949445,0.6753813739074181,0.4813739458479537,860,4,1,5
22,True,True,10,single.test,0.7356125020620551,0.7592700229627607,0.24536726591929858,860,4,1,5
23,True,True,10,mult.test,0.4490622536601012,0.3567763735913692,-1.428778095158389,860,4,1,5
24,False,True,50,single.train,0.860030475113597,0.8577063414121417,0.2939423069363949,860,172,1,5
25,False,True,50,single.test,0.8336479967984942,0.8344989992545767,0.21855542996633037,860,172,1,5
26,False,False,50,mult.test,0.20874735889873947,0.15675043736307168,-5.943243698807131,860,172,1,5
27,False,True,50,single.train,0.8554512916339315,0.8536541877060373,0.612217067008346,860,4,1,5
28,False,True,50,single.test,0.822554009489159,0.8173872228658274,0.5300157609909597,860,4,1,5
29,False,True,50,mult.test,0.2308092851673551,0.18193833688710154,-1.9093622741430396,860,4,1,5
30,True,True,50,single.train,0.7941275951966943,0.681148314814189,0.38042109869156127,860,172,1,5
31,True,True,50,single.test,0.7652051030278912,0.7724970585743931,0.33440201779624534,860,172,1,5
32,True,False,50,mult.test,0.4573927615480595,0.366405106568451,-1.9156002238375551,860,172,1,5
33,True,True,50,single.train,0.7948744744214036,0.6859323375312876,-1.5897051833245497,860,4,1,5
34,True,True,50,single.test,0.7653137597219748,0.7734324790186959,-7.441584079192337,860,4,1,5
35,True,True,50,mult.test,0.4550491395245523,0.37343766541392265,-9.025430091434105,860,4,1,5
